taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (graueri <1000),structural_zero (graueri >1000)
Eufriesea,1,FALSE,FALSE,FALSE,FALSE,0,0
Habropoda,1,FALSE,FALSE,FALSE,FALSE,0,0
Ceratina,1,FALSE,FALSE,FALSE,FALSE,0,0
Monomorium,1,FALSE,FALSE,FALSE,FALSE,0,0
Pogonomyrmex,1,FALSE,FALSE,FALSE,FALSE,0,0
Dinoponera,0,FALSE,FALSE,FALSE,FALSE,0,0
Linepithema,1,FALSE,FALSE,FALSE,FALSE,0,0
Dichomitus,1,FALSE,FALSE,FALSE,FALSE,0,0
Abrus,1,FALSE,FALSE,FALSE,FALSE,0,0
Citrullus,1,FALSE,FALSE,FALSE,FALSE,0,0
Benincasa,1,FALSE,FALSE,FALSE,FALSE,0,0
Pyrus,1,FALSE,FALSE,FALSE,FALSE,0,0
Fragaria,1,FALSE,FALSE,FALSE,FALSE,0,0
Rosa,1,FALSE,FALSE,FALSE,FALSE,0,0
Ficus,1,FALSE,FALSE,FALSE,FALSE,0,0
Herrania,1,FALSE,FALSE,FALSE,FALSE,0,0
Syzygium,1,FALSE,FALSE,FALSE,FALSE,0,0
Pistacia,1,FALSE,FALSE,FALSE,FALSE,0,0
Coffea,0,FALSE,FALSE,FALSE,FALSE,0,0
Cynara,1,FALSE,FALSE,FALSE,FALSE,0,0
Phyllostachys,48,TRUE,TRUE,TRUE,TRUE,0,0
Thaumatococcus,Inf,TRUE,TRUE,TRUE,TRUE,0,1
Phalaenopsis,1,FALSE,FALSE,FALSE,FALSE,0,0
Viscum,1,FALSE,FALSE,FALSE,FALSE,0,0
Acromyrmex,1,FALSE,FALSE,FALSE,FALSE,0,0
Pseudevernia,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Saccharum,1,FALSE,FALSE,FALSE,FALSE,0,0
Euonymus,1,FALSE,FALSE,FALSE,FALSE,0,0
Ligustrum,1,FALSE,FALSE,FALSE,FALSE,0,0
Damnacanthus,1,FALSE,FALSE,FALSE,FALSE,0,0
Galium,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Pisum,1,FALSE,FALSE,FALSE,FALSE,0,0
Corchorus,0,FALSE,FALSE,FALSE,FALSE,0,0
Turnera,1,FALSE,FALSE,FALSE,FALSE,0,0
Neolamarckia,0,FALSE,FALSE,FALSE,FALSE,0,0
Passiflora,1,FALSE,FALSE,FALSE,FALSE,0,0
Bombax,1,FALSE,FALSE,FALSE,FALSE,0,0
Asclepias,1,FALSE,FALSE,FALSE,FALSE,0,0
Marantochloa,Inf,TRUE,TRUE,TRUE,TRUE,0,1
Parmotrema,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Rhazya,1,FALSE,FALSE,FALSE,FALSE,0,0
Rubia,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Cynanchum,1,FALSE,FALSE,FALSE,FALSE,0,0
Ferrocalamus,1,FALSE,FALSE,FALSE,FALSE,0,0
Poikilospermum,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Celtis,Inf,TRUE,TRUE,TRUE,TRUE,0,1
Tamarindus,1,FALSE,FALSE,FALSE,FALSE,0,0
Echinacanthus,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Palisota,Inf,TRUE,TRUE,TRUE,TRUE,0,1
Indigofera,1,FALSE,FALSE,FALSE,FALSE,0,0
Rubus,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Baphia,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Bruguiera,1,FALSE,FALSE,FALSE,FALSE,0,0
Hoya,1,FALSE,FALSE,FALSE,FALSE,0,0
Periploca,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Scyphiphora,0,FALSE,FALSE,FALSE,FALSE,0,0
Rotheca,1,FALSE,FALSE,FALSE,FALSE,0,0
Strobilanthes,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Tolypanthus,1,FALSE,FALSE,FALSE,FALSE,0,0
Bambusa,1,FALSE,FALSE,FALSE,FALSE,0,0
Gastrodia,1,FALSE,FALSE,FALSE,FALSE,0,0
Bulbophyllum,1,FALSE,FALSE,FALSE,FALSE,0,0
Garcinia,1,FALSE,FALSE,FALSE,FALSE,0,0
Oldeania,Inf,TRUE,TRUE,TRUE,TRUE,1,0
Ruellia,Inf,TRUE,TRUE,TRUE,TRUE,1,0
