taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (beringei),structural_zero (gorilla),structural_zero (graueri <1000),structural_zero (graueri >1000)
Eufriesea,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Habropoda,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Ceratina,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Monomorium,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Pogonomyrmex,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Dinoponera,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Linepithema,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Dichomitus,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Abrus,13,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Benincasa,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Pyrus,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Fragaria,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Rosa,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Ficus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Herrania,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Syzygium,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Pistacia,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Coffea,26,TRUE,TRUE,TRUE,TRUE,0,0,0,0
Cynara,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Phyllostachys,27,TRUE,TRUE,TRUE,TRUE,0,0,0,0
Thaumatococcus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,1
Phalaenopsis,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Viscum,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Acromyrmex,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Saccharum,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Euonymus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Damnacanthus,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Galium,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
Corchorus,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Neolamarckia,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Passiflora,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Asclepias,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Marantochloa,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,1
Parmotrema,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
Rhazya,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Rubia,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
Cynanchum,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Ferrocalamus,16,FALSE,FALSE,FALSE,FALSE,0,0,0,0
Poikilospermum,Inf,TRUE,TRUE,TRUE,TRUE,0,1,1,0
Tamarindus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Palisota,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,1
Rubus,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
Hoya,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Periploca,Inf,TRUE,TRUE,TRUE,TRUE,0,1,1,0
Scyphiphora,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
Bambusa,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0,0
Gnetum,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,1
Oldeania,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
